facility_type,facility_name,facility_phone,facility_address,facility_capacity,latitude,longitude,b_type
DAY CARE CENTER,CCFC- O'FARREL,(415) 921-7019,1901 O'FARRELL STREET,20,37.782713,-122.436232,childcare
DAY CARE CENTER,CCFC-30TH AVENUE,(415) 668-6539,741 30TH AVENUE,29,37.7751205,-122.4898974,childcare
DAY CARE CENTER,CCFC-EDDY,(415) 567-9126,1672 EDDY STREET,50,37.78108,-122.4351752,childcare
DAY CARE CENTER,CCFC-TURK,(415) 928-5178,259 TURK STREET,53,37.7827086,-122.4133906,childcare
DAY CARE CENTER,CCFC-VV HERITAGE CENTER (P),(415) 921-7019,245 REY STREET,20,37.7102213,-122.4126348,childcare
DAY CARE CENTER,CCFC-VV JOHN KING CENTER (P),(415) 921-7019,500 RAYMOND AVENUE,24,37.715472,-122.413578,childcare
DAY CARE CENTER,CCFC-VV LELAND CENTER (P),(415) 921-7019,325 LELAND AVENUE,88,37.7130002,-122.4090738,childcare
DAY CARE CENTER,CCFC-VV TUCKER CENTER (P),(415) 921-7019,103 TUCKER AVENUE,40,37.7159293,-122.4059455,childcare
DAY CARE CENTER,CENTRO LAS OLAS,(415) 821-6527,3737 26TH STREET,16,37.7486977,-122.4236539,childcare
DAY CARE CENTER,CHIBI-CHAN PRESCHOOL,(415) 351-0955,2507 PINE STREET,56,37.7874792,-122.437266,childcare
DAY CARE CENTER,CHILD'S TIME,(415) 656-0380,3061 SAN BRUNO AVENUE,22,37.722929,-122.401423,childcare
DAY CARE CENTER,"CHILDREN'S DAY SCHOOL, INC.",(415) 861-5432,333 DOLORES STREET,72,37.7639007,-122.4251176,childcare
DAY CARE CENTER,KAI MING HEAD START-DR. T. KONG LEE CENTER,(415) 982-4777,950 POWELL STREET,20,37.7936248,-122.4093805,childcare
DAY CARE CENTER,KAI MING HEAD START-GEARY CENTER,(415) 387-3133,6221 GEARY BLVD.,58,37.779722,-122.486189,childcare
DAY CARE CENTER,KAI MING HEAD START-NORTH BEACH CENTER,(415) 931-1088,1170 COLUMBUS AVENUE,40,37.8048328,-122.4164561,childcare
DAY CARE CENTER,KAI MING HEAD START-RICHMOND,(415) 386-3096,"426 33RD AVENUE, 2ND FLOOR",30,37.7810497,-122.4931908,childcare
DAY CARE CENTER,KAI MING HEAD START - BROADWAY CENTER,(415) 982-4570,820 BATTERY STREET,58,37.7990618,-122.4008913,childcare
DAY CARE CENTER,KAI MING HEAD START - ST. LUKE CENTER (PS),(415) 690-1014,1755 CLAY STREET,60,37.7920526,-122.4222367,childcare
DAY CARE CENTER,KAI MING HEAD START - SUNSET CENTER,(415) 759-8980,2800 TARAVAL STREET,45,37.7423137,-122.4962006,childcare
DAY CARE CENTER,KANGAROOS PRESCHOOL CENTER LLC,(415) 564-2500,2004 LAWTON STREET,21,37.7577669,-122.4844177,childcare
DAY CARE CENTER,KANGAROOS PRESCHOOL II,(415) 333-4452,298 MONTEREY BLVD.,39,37.7318358,-122.4419021,childcare
DAY CARE CENTER,KATHERINE MICHIELS SCHOOL (PRE-K),(415) 821-1434,1335 GUERRERO,36,37.74984,-122.422413,childcare
DAY CARE CENTER,KIDS BY THE BAY - PRESCHOOL,(415) 554-8100,90 SEVENTH STREET,52,37.7791976,-122.4121784,childcare
DAY CARE CENTER,KIDS KOLLEGE PRESCHOOL DAY CARE,(415) 753-1869,3939 LAWTON STREET,60,37.7564585,-122.5052329,childcare
DAY CARE CENTER,"KINDERHAUS, A GERMAN INTERNATIONAL PRESCHOOL",(415) 335-9306,3281 16TH STREET,12,37.7644801,-122.4258649,childcare
DAY CARE CENTER,KROUZIAN-ZEKARIAN-VASBOURAGAN ARMENIAN PRESCHOOL,(415) 586-8686,825 BROTHERHOOD WAY,34,37.7139441,-122.4783118,childcare
DAY CARE CENTER,LA PICCOLA SCUOLA ITALIANA,(415) 558-9006,851 TENNESSEE STREET,42,37.7610219,-122.389239,childcare
DAY CARE CENTER,LA PICOLLA SCUOLA ITALIANA PRE SCHOOL,(415) 558-9006,728 - 20TH STREET,100,37.7606205,-122.3892128,childcare
DAY CARE CENTER,LAKESIDE PRESBYTERIAN CHURCH NURSERY SCHOOL,(415) 564-5044,201 EUCALYPTUS DRIVE,75,37.7307384,-122.4754411,childcare
DAY CARE CENTER,"LAND'S END SCHOOL - PRESCHOOL, THE",(415) 751-8511,4150 CLEMENT ST BUILDING T-45,30,37.7821827,-122.5042152,childcare
DAY CARE CENTER,LANGUAGE IN ACTION-JOSE CORONADO CLUBHOUSE (PS),(415) 606-1205,2498 FOLSOM STREET,22,37.7573183,-122.414585,childcare
DAY CARE CENTER,LANGUAGE IN ACTION-NOE VALLEY MINISTRY (PS),(415) 525-4917,1021 SANCHEZ STREET,30,37.7528852,-122.4297276,childcare
DAY CARE CENTER,LANGUAGE IN ACTION - SF,(415) 310-1335,1 MILEY STREET,15,37.797307,-122.445047,childcare
DAY CARE CENTER,LANGUAGE IN ACTION - SF,(415) 310-1335,301 EUCLID AVENUE,22,37.7843523,-122.4506263,childcare
DAY CARE CENTER,LAUREL HILL NURSERY SCHOOL,(415) 751-8784,401 EUCLID AVENUE,59,37.7838884,-122.452693,childcare
DAY CARE CENTER,"LEARNING BRIDGE PRESCHOOL, THE",(415) 753-1802,1050 KIRKHAM STREET,26,37.7602008,-122.4722097,childcare
DAY CARE CENTER,LETTERMAN DIGITAL ARTS CCC (PRESCHOOL),(415) 746-5444,"1 LETTERMAN DR., BLDG. B",72,37.7989268,-122.449303,childcare
DAY CARE CENTER,LITTLE ANGELS JAPANESE PRESCHOOL,(415) 564-6123,1457 NINTH AVENUE,30,37.761133,-122.4663886,childcare
DAY CARE CENTER,LITTLE BEAR SCHOOL,(415) 239-2220,"65 OCEAN AVE.,RMS.1 - 5 & 7-9",90,37.7231538,-122.4380488,childcare
DAY CARE CENTER,LITTLE BEE,(415) 608-3981,2733 LOMBARD STREET,32,37.7983697,-122.4465806,childcare
DAY CARE CENTER,LITTLE CHILDREN'S DEVELOPMENTAL CENTER,(415) 921-5329,1223 WEBSTER STREET,19,37.7822927,-122.4310952,childcare
DAY CARE CENTER,"LITTLE FOOTPRINTS PRESCHOOL, CORP.",(415) 200-8607,2201 VICENTE STREET,80,37.738416,-122.490702,childcare
DAY CARE CENTER,LITTLE GATORS,(415) 346-8608,3149 STEINER,27,37.798463,-122.4377164,childcare
DAY CARE CENTER,LITTLE LYNC CHILD CARE CENTER (THE),(415) 824-1288,501 CONNECTICUT STREET,27,37.7598677,-122.3969684,childcare
DAY CARE CENTER,LITTLE PEOPLE PRESCHOOL,(415) 751-1006,3595 TARAVAL ST,30,37.741543,-122.504297,childcare
DAY CARE CENTER,"LITTLE SCHOOL, THE",(415) 567-0430,1520 LYON STREET,71,37.785207,-122.444548,childcare
DAY CARE CENTER,LITTLE STAR,(415) 731-7933,2540 TARAVAL STREET,45,37.742507,-122.493666,childcare
DAY CARE CENTER,LITTLE STAR PRESCHOOL TOO,(415) 731-7933,1105 QUINTARA STREET,104,37.7484079,-122.4775296,childcare
DAY CARE CENTER,LITTLE TREE PRESCHOOL,(415) 647-7524,3161 MISSION STREET,22,37.7463813,-122.4189473,childcare
DAY CARE CENTER,LITTLE URBANITES,(415) 494-1305,1258 20TH AVENUE,13,37.764294,-122.477919,childcare
DAY CARE CENTER,LONE MOUNTAIN CHILDREN'S CENTER,(415) 876-0057,1806 BELLES STREET-SF PRESIDIO,72,37.7886961,-122.4736601,childcare
DAY CARE CENTER,LOVE & LEARN NURSERY SCHOOL,(415) 863-4059,1419 HOWARD STREET,37,37.773351,-122.414793,childcare
DAY CARE CENTER,LYCEE FRANCAIS INTERNATIONAL LA PEROUSE,(415) 661-5232,755/765 ASHBURY STREET,96,37.7680643,-122.4468411,childcare
DAY CARE CENTER,MARIA MONTESSORI SCHOOL OF THE GOLDEN GATE,(415) 731-8188,62 LENOX WAY,24,37.742599,-122.465213,childcare
DAY CARE CENTER,MARIN DAY SCHOOL- CALIFORNIA STREET CAMPUS-PRESCHL,(415) 775-2211,2266 CALIFORNIA STREET,95,37.7892312,-122.4315166,childcare
DAY CARE CENTER,MARIN DAY SCHOOL- HILL PLAZA CAMPUS (PRESCHOOL),(415) 777-9696,"2 HARRISON ST., #150",31,37.7895035,-122.3890646,childcare
DAY CARE CENTER,MARIN DAY SCHOOL- SPEAR STREET (PRESCHOOL),(415) 777-2081,220 SPEAR STREET,34,37.7911353,-122.3923329,childcare
DAY CARE CENTER,MARIN DAY SCHOOL- S.F. CITY HALL CCC (PRESCHOOL),(415) 554-7560,1 DR. CARLTON B. GOODLETT WAY,40,37.7792719,-122.4192288,childcare
DAY CARE CENTER,MARIN DAY SCHOOL- UCSF LAUREL HEIGHTS (PRESCHOOL),(415) 775-2111,"3333 CALIFORNIA ST., STE. 220",87,37.786977,-122.4490437,childcare
DAY CARE CENTER,MARIN DAY SCHOOLS- FREMONT CAMPUS (PRESCHOOL),(415) 836-0102,342 HOWARD STREET,32,37.7895111,-122.3951143,childcare
DAY CARE CENTER,MARINA CHILDREN,(415) 931-0833,3219A LAGUNA STREET,21,37.800771,-122.4315112,childcare
DAY CARE CENTER,MARTHA HILLS LEARNING CENTER - PRESCHOOL,(415) 468-2656,1044 JAMESTOWN AVENUE,23,37.7190119,-122.3944279,childcare
DAY CARE CENTER,MIO PRE-SCHOOL,(415) 587-2922,4377 MISSION STREET,36,37.727357,-122.432413,childcare
DAY CARE CENTER,MIRALOMA NURSERY SCHOOL,(415) 585-6789,443 FOERSTER STREET,22,37.7322016,-122.4490948,childcare
DAY CARE CENTER,"MISSION CHILDCARE CONSORTIUM, INC.",(415) 586-6139,4750 MISSION STREET,224,37.722256,-122.437282,childcare
DAY CARE CENTER,MISSION HEAD START-101 VALENCIA HEAD START,(415) 252-7008,1330 STEVENSON,20,37.771152,-122.422059,childcare
DAY CARE CENTER,MISSION HEAD START-BERNAL DWELLINGS CHILDCARE CTR.,(415) 826-1653,3141 26TH STREET,24,37.749292,-122.4123062,childcare
DAY CARE CENTER,MISSION HEAD START-MISSION BAY CHILD DEV. CTR.,(415) 856-0650,152 BERRY STREET,48,37.7767851,-122.3922426,childcare
DAY CARE CENTER,MISSION HEAD START-WOMEN'S BUILDING CENTER,(415) 701-1995,3543 18TH STREET,23,37.76142,-122.422619,childcare
DAY CARE CENTER,MISSION HEAD START - ADULT CENTER (CAPP CENTER),(415) 206-7752,362 CAPP STREET,40,37.7609397,-122.418229,childcare
DAY CARE CENTER,MISSION HEAD START - JEAN JACOBS,(415) 469-2162,459 VIENNA STREET,24,37.7210817,-122.4297062,childcare
DAY CARE CENTER,MISSION HEAD START - REGINA CHIONG FAMILY CENTER,(415) 285-9662,3013 - 24TH STREET,40,37.7526026,-122.4122022,childcare
DAY CARE CENTER,MISSION HEAD START - VALENCIA GARDENS,(415) 552-0169,380 VALENCIA STREET,36,37.7670369,-122.4222443,childcare
DAY CARE CENTER,MISSION KIDS,(415) 970-9027,1050 SOUTH VAN NESS #104,34,37.7562963,-122.4169362,childcare
DAY CARE CENTER,"MOLDOVAN ACADEMY, INC.",(707) 337-2874,1270 SANCHEZ STREET,45,37.748899,-122.429677,childcare
DAY CARE CENTER,MONTESSORI CHILDREN'S CENTER,(415) 333-4410,80 JUAN BAUTISTA CIRCLE,58,37.7182849,-122.4791432,childcare
DAY CARE CENTER,MONTESSORI CHILDREN'S HOUSE OF THE WEST COAST,(415) 922-9235,25 LAKE STREET,60,37.7867097,-122.4598082,childcare
DAY CARE CENTER,MONTESSORI HOUSE OF CHILDREN,(415) 441-7691,1187 FRANKLIN STREET,110,37.78529,-122.4232848,childcare
DAY CARE CENTER,"MONTESSORI SCHOOL OF THE BAY AREA, INC.",(415) 292-7970,1550 EDDY STREET,48,37.7813789,-122.4331773,childcare
DAY CARE CENTER,MOTHER GOOSE SCHOOL,(415) 221-6133,334 28TH AVENUE,94,37.7830216,-122.4878701,childcare
DAY CARE CENTER,MULTICULTURAL PRE-SCHOOL,(415) 668-3300,3300 BALBOA STREET,45,37.7760516,-122.4942715,childcare
DAY CARE CENTER,MY LITTLE LEARNING TREE,(415) 387-6558,2118 CLEMENT STREET,30,37.7824606,-122.4821039,childcare
DAY CARE CENTER,"NEIGHBORHOOD SCHOOL, THE",(415) 564-5217,1214 20TH AVENUE,20,37.764983,-122.478101,childcare
DAY CARE CENTER,NIHONMACHI LITTLE FRIENDS,(415) 922-8898,2031 BUSH STREET,44,37.78709,-122.43059,childcare
DAY CARE CENTER,NIHONMACHI LITTLE FRIENDS SUTTER SITE,(415) 922-4060,1830 SUTTER STREET,36,37.7867103,-122.4305626,childcare
DAY CARE CENTER,NOE VALLEY NURSERY SCHOOL,(415) 647-2278,5210 DIAMOND HEIGHTS BLVD.,30,37.7440283,-122.4402619,childcare
DAY CARE CENTER,ONE FIFTY PARKER AVENUE NURSERY SCHOOL,(415) 221-0294,150 PARKER AVE,35,37.782818,-122.454098,childcare
DAY CARE CENTER,OUR VICTORIAN SCHOOLHOUSE,(415) 292-7262,823 DIVISADERO STREET,45,37.777242,-122.438639,childcare
DAY CARE CENTER,PACIFIC GAS & ELECTRIC CHILDREN'S CENTER-PRESCHOOL,(415) 972-5535,77 BEALE STREET 2ND FLR MC-B2A,45,37.7921285,-122.3966794,childcare
DAY CARE CENTER,PACIFIC PRIMARY,(415) 346-0906,1500 GROVE STREET,80,37.775631,-122.4416966,childcare
DAY CARE CENTER,PACIFIC PRIMARY - ORANGE SUN CAMPUS,(415) 409-1961,1501 GROVE STREET,75,37.775283,-122.441606,childcare
DAY CARE CENTER,PARKSIDE PRE-SCHOOL & KINDERGARTEN,(415) 564-6250,2425 19TH AVENUE,176,37.7425378,-122.4754773,childcare
DAY CARE CENTER,PEEKADOODLE ACADEMY PRESCHOOL,(415) 440-7335,"900 NORTH POINT ST., STE. F100",60,37.8056805,-122.4223749,childcare
DAY CARE CENTER,PETER'S PLACE NURSERY SCHOOL,(415) 752-1444,227 BALBOA STREET,20,37.7771609,-122.4613683,childcare
DAY CARE CENTER,PHOEBE A. HEARST PRESCHOOL LEARNING CENTER,(415) 931-1018,1315 ELLIS STREET,125,37.78268,-122.427949,childcare
DAY CARE CENTER,PIXIE HALL STUDIOS (PS),(415) 400-4846,649 DIAMOND STREET,10,37.7521071,-122.4361359,childcare
DAY CARE CENTER,PLAYMATES COOPERATIVE NURSERY SCHOOL,(415) 681-2025,2340 -42ND AVENUE,49,37.7432459,-122.5001528,childcare
DAY CARE CENTER,PORTOLA FAMILY CONNECTIONS-PRESCHOOL,(415) 715-6746,2565 SAN BRUNO AVENUE,18,37.729499,-122.4041334,childcare
DAY CARE CENTER,POTRERO KIDS AT DANIEL WEBSTER,(415) 550-4700,465 MISSOURI STREET,38,37.7604421,-122.3958436,childcare
DAY CARE CENTER,POTRERO KIDS THIRD,(415) 550-3300,810 ILLINOIS STREET,64,37.7615759,-122.3876735,childcare
DAY CARE CENTER,"PRESCHOOL, THE",(415) 285-5327,102 SAN JOSE AVENUE,15,37.753284,-122.4217838,childcare
DAY CARE CENTER,PRESIDIO KNOLLS SCHOOL,(415) 202-0770,250 10TH STREET,150,37.7729461,-122.41362,childcare
DAY CARE CENTER,PRESIDIO PRESCHOOL,(415) 742-4488,143 CLEMENT STREET,27,37.7829652,-122.4608401,childcare
DAY CARE CENTER,RAINBOW MONTESSORI,(415) 661-9100,2358 24TH AVENUE,18,37.743614,-122.48112,childcare
DAY CARE CENTER,ROCKY MOUNTAIN PARTICIPATION NURSERY SCHOOL,(415) 552-2929,2475 - 15TH STREET,20,37.766177,-122.4381747,childcare
DAY CARE CENTER,"ROOM TO GROW PRESCHOOL, THE",(415) 826-9598,3786 MISSION STREET,26,37.7362113,-122.4246683,childcare
DAY CARE CENTER,RUSSIAN HILL SCHOOL,(415) 202-0525,2026 DIVISADERO STREET,22,37.7885632,-122.4402827,childcare
DAY CARE CENTER,"SALVATION ARMY HARBOR HOUSE CHILDCARE CENTER, THE",(415) 503-3032,407 - 9TH STREET,13,37.7721795,-122.4091855,childcare
DAY CARE CENTER,SAN FRANCISCO SCHOOL,(415) 239-5065,300 GAVEN,90,37.73278,-122.411698,childcare
DAY CARE CENTER,"SCANDINAVIAN SCHOOL IN SAN FRANCISCO, THE",(415) 665-3276,20 WOODSIDE AVENUE,45,37.7466256,-122.4579914,childcare
DAY CARE CENTER,"SERRA PRESCHOOL, THE",(415) 561-2200,7 FUNSTON AVENUE,47,37.799298,-122.4561024,childcare
DAY CARE CENTER,SF WALDORF SCHOOL-NURSERY PROG. EAST,(415) 931-2244,3103-3107 SACRAMENTO STREET,22,37.7883938,-122.4439896,childcare
DAY CARE CENTER,SFCCD- ORFALEA FAMILY CENTER,(415) 447-1100,1860 HAYES STREET,65,37.7740693,-122.4471193,childcare
DAY CARE CENTER,SFCCD-MISSION COMMUNITY COLLEGE CENTER,(415) 920-6200,1125 VALENCIA STREET,35,37.754759,-122.4206292,childcare
DAY CARE CENTER,SFCCD-ORFALEA FAMILY CENTER-OCEAN AVENUE CAMPUS,(415) 239-3462,50 PHELAN AVENUE,75,37.725819,-122.4511146,childcare
DAY CARE CENTER,SFSU - CHILDREN'S CAMPUS (PRESCHOOL),(415) 405-4011,NORTH STATE DRIVE,32,37.7259911,-122.4821109,childcare
DAY CARE CENTER,SFUSD-ARGONNE EARLY EDUCATION SCHOOL (PRESCHOOL),(415) 750-8617,"750-16TH AVE., RMS:1,2,3,&4",66,37.7739293,-122.4744488,childcare
DAY CARE CENTER,SFUSD-BESSIE CARMICHAEL EARLY EDUCATION SCHOOL,(415) 615-8450,"375 SEVENTH ST., ROOMS 101-104",72,37.7762168,-122.4065093,childcare
DAY CARE CENTER,SFUSD-BRET HARTE (EES) PRESCHOOL,(415) 330-1545,950 HOLLISTER AVENUE,60,37.718359,-122.389494,childcare
DAY CARE CENTER,SFUSD-BRYANT EARLY EDUCATION SCHOOL,(415) 695-5838,2641- 25TH STREET,69,37.7516281,-122.404906,childcare
DAY CARE CENTER,SFUSD-CESAR CHAVEZ EARLY EDUCATION SCHOOL (PS),(415) 695-5946,825 SHOTWELL STREET,24,37.7549534,-122.4151875,childcare
DAY CARE CENTER,SFUSD-COMMODORE STOCKTON ANNEX (EES),(415) 291-7932,1 TRENTON STREET,62,37.7948629,-122.408929,childcare
DAY CARE CENTER,SFUSD-COMMODORE STOCKTON EARLY ED SCHOOL (PS),(415) 291-7932,"1 TRENTON ST., RMS 1,2,3,&4",88,37.7948629,-122.408929,childcare
DAY CARE CENTER,"SFUSD-COMMODORE STOCKTON EARLY EDUCATION SCHOOL,PS",(415) 291-7932,954 WASHINGTON STREET,49,37.79508,-122.409084,childcare
DAY CARE CENTER,"SFUSD-COMMODORE STOCKTON EARLY EDUCATION SCHOOL,PS",(415) 291-7932,949 WASHINGTON STREET,51,37.7948315,-122.4090551,childcare
DAY CARE CENTER,SFUSD-DR. CHARLES DREW (EES) PRESCHOOL,(415) 330-1546,"50 POMONA ST., RMS. 1,2,5,&6",81,37.7315924,-122.3940101,childcare
DAY CARE CENTER,SFUSD-DR. WILLIAM COBB (EES) PRESCHOOL,(415) 749-3505,2725 CALIFORNIA STREET,48,37.7881422,-122.4397347,childcare
DAY CARE CENTER,SFUSD-EXCELSION AT GUADALUPE (EES) PRESCHOOL,(415) 469-4753,859 PRAGUE STREET,72,37.7101912,-122.4345616,childcare
DAY CARE CENTER,SFUSD-E.R. TAYLOR (EES) PRESCHOOL,(415) 330-1530,"423 BURROWS, BUNGALOWS 1 & 2",34,37.7267793,-122.4104979,childcare
DAY CARE CENTER,SFUSD-FAIRMOUNT ELEMENTARY SCHOOL (EES),(415) 695-5669,65 CHENERY STREET,24,37.7402134,-122.4248397,childcare
DAY CARE CENTER,SFUSD-GORDON J. LAU EES (PS),(415) 291-7932,950 CLAY ST.,90,37.7939131,-122.4093473,childcare
DAY CARE CENTER,SFUSD-GORDON LAU (EES) PRESCHOOL,(415) 291-7932,954 WASHINGTON STREET,60,37.79508,-122.409084,childcare
DAY CARE CENTER,SFUSD-GRATTAN EARLY EDUCATION SCHOOL-PRESCHOOL,(415) 759-2850,165 GRATTAN STREET,69,37.7636309,-122.4504803,childcare
DAY CARE CENTER,SFUSD-JEFFERSON EARLY EDUCATION SCHOOL-PRESCHOOL,(415) 759-2852,1350 - 25TH AVENUE,56,37.7623466,-122.4834562,childcare
DAY CARE CENTER,SFUSD-JOHN MUIR ECIA (EES) PRESCHOOL,(415) 241-6339,380 WEBSTER STREET,36,37.774031,-122.429167,childcare
DAY CARE CENTER,SFUSD-JUNIPERO SERRA EARLY EDUCATION SCHOOL (PS),(415) 920-5138,155 APPLETON STREET,67,37.7379855,-122.4217807,childcare
DAY CARE CENTER,SFUSD-LAS AMERICAS EARLY EDUCATION SCHOOL (PS),(415) 695-5746,801 TREAT AVENUE,72,37.7573485,-122.4134381,childcare
DAY CARE CENTER,SFUSD-LEOLA HAVARD EARLY EDUCATION SCHOOL (PS),(415) 695-5660,1520 OAKDALE AVENUE,192,37.7345061,-122.3890433,childcare
DAY CARE CENTER,SFUSD-MALCOLM X EES (PS),(415) 695-5950,350 HARBOR ROAD,40,37.733877,-122.3809464,childcare
DAY CARE CENTER,SFUSD-NORIEGA EARLY EDUCATION SCHOOL (PS),(415) 759-2853,1775 - 44TH AVENUE,136,37.7533162,-122.5033067,childcare
DAY CARE CENTER,SFUSD-PAUL REVERE ELEMENTARY SCHOOL (EES),(415) 695-5656,610 TOMPKINS STREET,24,37.7366524,-122.4127918,childcare
DAY CARE CENTER,SFUSD-PRESIDIO EARLY EDUCATION SCHOOL (PS),(415) 561-5822,387 MORAGA AVE,109,37.7982566,-122.460557,childcare
DAY CARE CENTER,SFUSD-RAPHAEL WEILL (EES) PRESCHOOL,(415) 749-3548,1501 O'FARRELL STREET,60,37.7830349,-122.4298556,childcare
DAY CARE CENTER,SFUSD-ROOFTOP EARLY EDUCATION SCHOOL (PS),(415) 695-5692,"443 BURNETT STREET, ROOM 7",22,37.7543278,-122.44396,childcare
DAY CARE CENTER,SFUSD-SAN MIGUEL EARLY EDUCATION SCHOOL (PS),(415) 469-4756,300 SENECA AVENUE,102,37.7216375,-122.4452411,childcare
DAY CARE CENTER,SFUSD-SANCHEZ EARLY EDUCATION SCHOOL (PS),(415) 241-6380,325 SANCHEZ STREET,40,37.763457,-122.430534,childcare
DAY CARE CENTER,SFUSD-STARR KING EARLY EDUCATION SCHOOL (PS),(415) 695-5570,1215 CAROLINA STREET,23,37.7533196,-122.3989393,childcare
DAY CARE CENTER,SFUSD-TENDERLOIN COMMUNITY EARLY EDUCATION SCHOOL,(415) 614-3000,627 TURK STREET,30,37.7818705,-122.4198584,childcare
DAY CARE CENTER,SFUSD-THERESA S. MAHLER (EES) PRESCHOOL,(415) 695-5871,990 CHURCH STREET,80,37.755033,-122.4277833,childcare
DAY CARE CENTER,"SFUSD-TULE ELK PARK EARLY EDUCATION SCHOOL,PRE SCH",(415) 749-3551,2110 GREENWICH STREET,96,37.7991024,-122.4349544,childcare
DAY CARE CENTER,SFUSD-ZAIDA T. RODRIGUEZ (EES) PRESCHOOL,(415) 695-5842,2950 MISSION STREET,60,37.7499109,-122.4185001,childcare
DAY CARE CENTER,SFUSD - PUBLIC MONTESSORI SCHOOL (EES),(415) 749-3544,2340 JACKSON STREET,88,37.7927605,-122.4336282,childcare
DAY CARE CENTER,SFUSD - SHERIDAN EARLY EDUCATION SCHOOL,(415) 469-4743,"431 CAPITOL AVENUE, ROOM130",15,37.7146245,-122.4597756,childcare
DAY CARE CENTER,SFUSD JOHN MCLAREN EARLY ED. SCHOOL (PRESCHOOL),(415) 469-4519,2055 SUNNYDALE AVENUE,96,37.7137047,-122.4234838,childcare
DAY CARE CENTER,SHALOM SCHOOL,(415) 831-8399,862 28TH AVENUE,36,37.773133,-122.487121,childcare
DAY CARE CENTER,"SLIPPERY FISH INITIATIVE, INC.- PRESCHOOL",(415) 585-5300,999 BROTHERHOOD WAY,40,37.7140243,-122.4830744,childcare
DAY CARE CENTER,SOUTH OF MARKET CHILD CARE CENTER ON NATOMA,(415) 487-0389,685 NATOMA STREET,48,37.7769907,-122.4117815,childcare
DAY CARE CENTER,SOUTHEAST FAMILIES UNITED/MISSION HEAD START,(415) 920-7000,1337 EVANS AVENUE,24,37.7400158,-122.3838305,childcare
